#,Anime,#1,#2,#3,#4-5,#6-10,#11-20,Points,Classification,Genre
261,Kuroko no Basuke,0,0,1,3,2,17,34,Shonen,Other
262,Yu-Gi-Oh,0,0,1,2,8,8,34,Shonen,Fantasy / Action
263,Plastic Memories,0,0,1,2,4,16,34,Seinen,Other
264,Mashle,0,0,1,1,7,13,34,Shonen,Fantasy / Action
265,Id: Invaded,0,0,0,3,7,11,34,Seinen,Other
268,Kimi ni Todoke,0,1,2,1,7,4,33,Shojo,Slice of Life
269,Castle in the Sky,0,1,1,2,4,11,33,Kodomomuke,Fantasy / Action
270,Sayonara Zetsubo Sensei,0,1,1,0,8,9,33,Shonen,Slice of Life
271,Akudama Drive,0,0,2,1,5,12,33,Seinen,Fantasy / Action
272,Wotakoi: Love is Hard for Otaku,0,0,1,0,6,17,33,Josei,Slice of Life
278,The Vision of Escaflowne,0,3,2,1,3,3,32,Shojo,Mecha
279,Saekano,0,1,1,1,2,17,32,Shonen,Slice of Life
280,The Angel Next Door,0,1,1,0,7,10,32,Shonen,Slice of Life
281,Space Brothers,0,1,0,5,3,7,32,Seinen,Other
285,Ore Monogatari,0,1,1,1,5,10,31,Shojo,Slice of Life
286,Silver Spoon,0,0,2,3,4,6,31,Shonen,Slice of Life
287,Shadows House,0,0,1,3,4,10,31,Shonen,Fantasy / Action
288,Akiba Maid Wars,0,0,0,4,1,17,31,Seinen,Other
289,Suzume,0,0,0,1,5,18,31,Seinen,Fantasy / Action
296,Gosick,0,1,1,4,3,4,30,Shonen,Other
297,Adachi and Shimamura,0,1,1,2,3,10,30,Shonen,Slice of Life
298,Ergo Proxy,0,1,1,1,3,13,30,Seinen,Other
299,Turn A Gundam,0,2,1,2,2,7,29,Shonen,Mecha
300,Tokyo Godfathers,0,1,1,1,4,10,29,Seinen,Other
301,Yuna Yuki is a Hero,0,1,0,1,5,12,29,Seinen,Fantasy / Action
302,Magi,0,1,0,1,4,14,29,Shonen,Fantasy / Action
303,Kekkai Sensen,0,0,0,3,6,8,29,Shonen,Fantasy / Action
304,Tonikawa,0,0,0,2,5,13,29,Shonen,Slice of Life
305,Lupin III,0,0,0,2,5,13,29,Shonen,Other
309,Blue Spring Ride,0,1,1,2,4,6,28,Shojo,Slice of Life
310,Dennou Coil,0,0,1,4,3,6,28,Seinen,Other
311,To Your Eternity,0,0,1,2,3,12,28,Shonen,Fantasy / Action
312,Grimgar of Fantasy and Ash,0,0,1,0,6,12,28,Shonen,Isekai
313,Maid-sama,0,0,0,1,8,9,28,Shojo,Slice of Life
317,Gankutsuou,0,1,0,0,7,9,27,Seinen,Other
318,Heike Monogatari,0,0,0,3,3,12,27,Seinen,Other
319,One Outs,0,0,0,1,7,10,27,Seinen,Other
322,Summer Wars,0,1,0,1,6,7,26,Seinen,Fantasy / Action
323,Elfen Lied,0,0,1,3,2,9,26,Seinen,Fantasy / Action
324,The Case Study of Vanitas,0,0,1,2,3,10,26,Shonen,Fantasy / Action
325,Kiki’s Delivery Service,0,0,0,1,4,15,26,Kodomomuke,Other
330,Anne of Green Gables,0,1,1,2,4,3,25,Kodomomuke,Other
331,A Sign of Affection,0,0,1,1,3,12,25,Seinen,Slice of Life
332,Tokyo Revengers,0,0,1,0,6,9,25,Shonen,Other
335,Rent a Girlfriend,0,3,0,1,2,5,24,Shonen,Slice of Life
336,The Devil is a Part Timer,0,0,2,2,1,8,24,Shonen,Isekai
337,Kakegurui,0,0,1,1,5,7,24,Seinen,Other
338,Gabriel Dropout,0,0,0,2,2,14,24,Seinen,Slice of Life
339,Mirai Nikki,0,0,0,0,8,8,24,Shonen,Fantasy / Action
340,Zom100,0,0,0,0,4,16,24,Shonen,Fantasy / Action
343,Texhnolyze,0,1,0,1,5,6,23,Seinen,Other
344,Re:Creators,0,1,0,1,4,8,23,Seinen,Fantasy / Action
345,Heartcatch Precure,0,0,2,1,3,6,23,Kodomomuke,Fantasy / Action
346,Space Battleship Yamato,0,0,1,3,3,4,23,Shonen,Other
347,Keijo,0,0,1,1,3,10,23,Shonen,Other
348,Do It Yourself,0,0,0,0,6,11,23,Seinen,Slice of Life
